j,v1,v2,v3,time
0,0.0599725,0.0569512,1.95099,0.00204468
2,0.0549874,0.0559945,1.88896,0.00390625
4,0.0539803,0.0539803,1.83095,0.00576782
6,0.0519661,0.0519661,1.774,0.00759889
8,0.050959,0.0499519,1.71896,0.00946046
10,0.046981,0.0479881,1.66397,0.011322
12,0.0459739,0.046981,1.62097,0.0131836
14,0.0449668,0.0449668,1.568,0.0150452
16,0.0439597,0.0439597,1.52097,0.0169067
18,0.0429526,0.0429526,1.47298,0.0187683
20,0.0409888,0.0409888,1.42897,0.0206299
22,0.0409888,0.0389746,1.38496,0.0224915
24,0.0389746,0.0389746,1.34598,0.024353
26,0.0369604,0.0379675,1.30197,0.0261841
28,0.0369604,0.0359533,1.26597,0.0280457
30,0.0359533,0.0349965,1.22795,0.0299072
32,0.0339894,0.0339894,1.192,0.0317688
34,0.0319753,0.0329823,1.15695,0.0336304
36,0.0319753,0.0319753,1.121,0.0354919
38,0.0319753,0.0299611,1.08897,0.0373535
40,0.0299611,0.0299611,1.057,0.0391846
42,0.0299611,0.0299611,1.02598,0.0410461
44,0.0269901,0.0299611,0.995966,0.0429077
46,0.0269901,0.028954,0.965955,0.0447693
48,0.0269901,0.0269901,0.936951,0.0466003
50,0.025983,0.024976,0.908953,0.0484619
52,0.0239689,0.024976,0.881963,0.0503235
54,0.024976,0.0239689,0.856987,0.0521851
56,0.0229618,0.0229618,0.830954,0.0540161
58,0.0219547,0.0219547,0.807992,0.0558777
60,0.0219547,0.0209979,0.783973,0.0577393
62,0.0209979,0.0209979,0.760961,0.0595703
64,0.0199908,0.0199908,0.739963,0.0614319
66,0.0189837,0.0209979,0.717958,0.063324
68,0.0189837,0.0189837,0.699981,0.065155
70,0.0179766,0.0189837,0.673998,0.0670166
72,0.0169695,0.0179766,0.656978,0.0688782
74,0.0179766,0.0159625,0.638951,0.0707397
76,0.0169695,0.0169695,0.61896,0.0726013
78,0.0159625,0.0159625,0.603955,0.0744324
80,0.0149554,0.0149554,0.585978,0.0762939
82,0.0159625,0.0149554,0.568958,0.0781555
84,0.0149554,0.0149554,0.553952,0.0800171
86,0.0149554,0.0139986,0.53799,0.0818481
88,0.0149554,0.0149554,0.522984,0.0837097
90,0.0129915,0.0139986,0.507979,0.0855713
92,0.0129915,0.0119844,0.492973,0.0874023
94,0.0129915,0.0109773,0.480989,0.0892639
96,0.0119844,0.0109773,0.464976,0.0911255
98,0.0119844,0.0119844,0.452991,0.0929871
100,0.0119844,0.0119844,0.438993,0.0948181
102,0.0109773,0.00997024,0.427965,0.0966797
104,0.0109773,0.0109773,0.415981,0.0985412
106,0.0109773,0.00997024,0.40596,0.100403
108,0.00896315,0.00997024,0.393975,0.102234
110,0.00896315,0.00896315,0.382998,0.104095
112,0.00997024,0.00896315,0.376956,0.10495
114,0.00997024,0.00896315,0.363964,0.107208
116,0.00896315,0.00699931,0.353994,0.10907
118,0.00795605,0.00896315,0.335967,0.110931
120,0.00795605,0.00699931,0.338988,0.112793
122,0.00795605,0.00795605,0.323982,0.114655
124,0.00699931,0.00699931,0.314969,0.116516
126,0.00699931,0.00699931,0.305955,0.118378
128,0.00795605,0.00699931,0.297999,0.120239
130,0.00699931,0.00599222,0.288986,0.122131
132,0.00599222,0.00795605,0.282994,0.123993
134,0.00498512,0.00599222,0.27398,0.125854
136,0.00498512,0.00498512,0.267988,0.127716
138,0.00599222,0.00397803,0.260989,0.129578
140,0.00599222,0.00599222,0.253989,0.131439
142,0.00498512,0.00699931,0.24699,0.133301
144,0.00498512,0.00498512,0.238984,0.135162
146,0.00397803,0.00397803,0.230977,0.137024
148,0.00498512,0.00397803,0.226999,0.138885
150,0.00397803,0.00498512,0.220957,0.140747
152,0.00397803,0.00498512,0.214964,0.142609
154,0.00297093,0.00397803,0.209979,0.14447
156,0.00297093,0.00196384,0.199959,0.147003
158,0.00297093,0.00498512,0.195981,0.148895
160,0.00297093,0.00498512,0.190996,0.150757
162,0.00297093,0.00397803,0.18596,0.152618
164,0.00297093,0.00397803,0.179968,0.15448
166,0.00397803,0.00297093,0.17599,0.156342
168,0.00297093,0.00297093,0.170954,0.158203
170,0.00397803,0.00397803,0.164962,0.160736
172,0.00196384,0.00196384,0.159977,0.162628
174,0.00196384,0.00196384,0.153985,0.165192
176,0.00196384,0.00196384,0.147993,0.167877
178,0.00196384,0.0,0.143964,0.169769
180,0.00196384,0.00196384,0.140993,0.171631
182,0.00095674,0.00095674,0.136965,0.173492
184,0.00196384,0.00196384,0.132987,0.175354
186,0.0,0.00095674,0.129966,0.177216
188,0.00297093,0.00095674,0.125988,0.179077
190,0.00095674,0.00095674,0.121959,0.180939
192,0.00196384,0.00196384,0.118988,0.1828
194,0.00095674,0.00196384,0.115967,0.184662
196,0.00196384,0.00095674,0.112996,0.186523
198,0.00095674,0.00196384,0.109975,0.188385
200,0.0,0.0,0.106953,0.190277
202,0.00095674,0.0,0.105997,0.192139
204,0.00196384,0.00095674,0.102975,0.194
206,0.00095674,0.00297093,0.0999542,0.195862
208,0.00095674,0.0,0.0969832,0.197723
210,0.0,0.0,0.0959761,0.199585
212,0.0,0.00095674,0.0929548,0.201447
214,0.0,0.00095674,0.0899839,0.203308
216,0.00095674,0.0,0.0879698,0.20517
218,0.00196384,0.00095674,0.0849988,0.207031
220,0.0,0.0,0.0839917,0.208893
222,0.0,0.0,0.0809704,0.210754
224,0.00095674,0.0,0.0799633,0.212616
226,0.0,0.00095674,0.0769924,0.214478
228,0.0,0.0,0.0749782,0.216339
230,0.0,0.0,0.072964,0.218201
232,0.00095674,0.0,0.0709498,0.220062
234,0.0,0.0,0.0679789,0.221924
236,0.0,0.0,0.0659647,0.223785
238,0.0,0.0,0.0659647,0.225647
240,0.0,0.0,0.0639505,0.227509
242,0.0,0.0,0.0619867,0.229401
244,0.0,0.0,0.0619867,0.231262
246,0.0,0.0,0.0599725,0.233124
248,0.0,0.0,0.0569512,0.234985
250,0.0,0.0,0.0579583,0.236847
252,0.0,0.0,0.0559945,0.238708
254,0.0,0.0,0.0539803,0.24057
